2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str,eV
0,0,0,0,0,0,20
0,0,0,0,0,0,40
0,0,0,0,0,0,60
0,0,0,0,0,0,80
0,0,0,0,0,0,100
0,0,0,0,0,0,120
0,0,0,0,0,0,140
0,0,0,0,0,0,160
0,0,0,0,0,0,180
0,0,0,0,0,0,200
0,0,0,0,0,0,220
0,0,0,0,0,0,240
0,0,0,0,0,0,260
0,0,0,0,0,0,280
0,0,0,0,0,0,300
0,0,0,0,0,0,320
0,0,0,0,0,0,340
0,0,0,0,0,0,360
0,0,0,0,0,0,380
0,0,0,0,0,0,400
0,0,0,0,0,0,420
0,0,0,0,0,0,440
0,0,0,0,0,0,460
0,0,0,0,0,0,480
0,0,0,0,0,0,500
0,0,0,0,0,0,520
0,0,0,0,0,0,540
0,0,0,0,0,0,560
0,0,0,0,0,0,580
0,0,0,0,0,0,600
268,166,35,27,256,298,620
242,151,41,64,356,288,640
431,197,32,20,306,293,660
275,151,35,27,274,282,680
327,161,47,50,329,293,700
314,174,38,71,288,267,720
418,223,54,50,306,370,740
320,205,32,34,292,385,760
477,223,95,94,402,339,780
425,228,57,64,356,401,800
530,288,85,61,402,421,820
451,278,76,88,393,411,840
418,288,107,108,448,447,860
438,309,114,145,494,488,880
530,394,126,131,466,549,900
595,387,199,172,567,637,920
582,457,170,236,635,606,940
778,537,193,215,622,719,960
647,587,237,323,640,657,980
830,685,275,239,763,801,1000
915,812,303,337,919,1063,1020
1059,797,423,306,1060,1042,1040
1026,978,350,444,987,1006,1060
1040,1064,372,407,1220,1114,1080
1196,1233,467,488,1261,1320,1100
1138,1376,474,522,1284,1469,1120
1497,1684,515,528,1627,1612,1140
1360,1754,546,545,1563,1792,1160
1602,1991,584,643,2011,2054,1180
2007,2411,682,650,2221,2598,1200
2236,2881,698,740,2523,2758,1220
2321,3083,704,680,2884,3117,1240
2870,3626,729,794,3002,3584,1260
3086,4230,764,892,3907,4272,1280
3694,4921,821,902,4241,4837,1300
3982,5487,789,1003,4492,5397,1320
4818,6327,947,1000,5525,6142,1340
5596,7820,915,1212,6832,7518,1360
6871,9224,1004,1269,8203,8899,1380
7688,10280,1064,1471,9387,10270,1400
9709,12120,1364,1733,11037,12324,1420
11618,14163,1506,1996,13532,14907,1440
12945,16550,1654,2127,15374,17536,1460
14239,16909,1714,2305,16740,18158,1480
17227,19353,1711,2504,20661,21778,1500
18626,19930,2039,2804,22608,24700,1520
21039,20506,2115,2891,26026,27514,1540
24111,20298,2210,3053,27859,30215,1560
27890,21666,2399,3369,33082,34025,1580
32205,22084,2494,3726,37131,37913,1600
35729,23189,2759,4288,41985,42190,1620
41188,24718,3087,4799,47322,48419,1640
47092,28746,3491,5648,54018,54674,1660
51688,30900,3930,6294,61138,61395,1680
58402,34661,4530,7260,67942,68975,1700
61442,36179,4858,7253,73143,70767,1720
68372,38694,5240,8623,81588,79189,1740
71085,40129,5698,8286,84166,80996,1760
71334,38196,5903,8852,86259,80123,1780
66189,33859,5739,7849,79619,73894,1800
64129,31289,5830,7896,76127,71240,1820
58317,26613,5657,7051,68797,61447,1840
51008,21879,5521,6287,57801,51962,1860
39756,16774,5461,5806,44960,40264,1880
32460,14012,5827,5712,35893,32587,1900
25099,11617,6395,5664,27224,23755,1920
18227,9424,7169,6253,20551,17762,1940
12964,7682,6762,5765,13980,13084,1960
10997,8100,8318,6903,12074,10625,1980
9146,7770,8810,7118,8774,8761,2000
6982,7879,9454,7711,7394,7466,2020
6054,7747,9394,7391,6357,6142,2040
5570,8027,9994,7536,6160,6301,2060
5498,8214,9467,7367,5557,5833,2080
4956,8222,8488,6758,5361,5433,2100
4799,7700,7406,5981,5027,5017,2120
5080,8637,6822,5456,4730,5007,2140
5028,8982,5862,5217,4858,4853,2160
4903,9442,5196,4746,4762,4632,2180
4720,9543,4697,4500,4419,4324,2200
5060,10794,4296,4046,4858,4729,2220
5492,11827,4347,4079,4890,4473,2240
5623,13247,4337,3945,4465,4519,2260
5407,13613,4303,3941,4849,4391,2280
5544,14910,4577,4072,4625,4596,2300
6472,14754,4719,4254,4858,4498,2320
6355,14838,4606,4012,4748,4668,2340
5891,13366,4615,4227,4250,4355,2360
6139,13309,4804,4473,4721,4729,2380
6309,11643,4669,4520,4675,4765,2400
5845,10135,5035,4618,4753,4519,2420
5904,8619,4849,4463,4396,4247,2440
5139,7742,4864,5102,3976,4385,2460
5348,6953,5452,5563,4538,4180,2480
5387,6182,5960,6055,4355,4637,2500
5217,5580,6459,6509,4378,4247,2520
5296,5736,7185,7310,4643,5022,2540
5596,5814,8561,8630,4346,5012,2560
5485,6029,10029,9915,4703,5294,2580
5623,6047,10660,10673,4643,5346,2600
5701,6927,13163,13244,5169,6234,2620
6342,7366,15203,14809,5498,6455,2640
6865,7973,17027,16377,6224,7323,2660
7048,7763,17693,17296,6457,7487,2680
8198,8393,19811,19470,6604,7975,2700
8408,8588,20279,19844,7234,8930,2720
8140,8757,20503,19723,7344,8822,2740
8466,7864,19161,18397,6754,8211,2760
8336,7975,19063,18636,7335,8648,2780
8427,7664,17485,17427,6887,8416,2800
8388,6948,15875,15768,6599,8303,2820
7237,6099,13962,14139,6142,8016,2840
7394,6317,13719,13611,6293,7626,2860
7322,5549,12182,11857,5713,6861,2880
6374,5206,10998,10733,5548,7040,2900
5773,4866,10064,9737,5027,6445,2920
5472,4298,8416,8630,4876,6095,2940
5596,4049,7390,7532,4799,5864,2960
4969,3426,6629,6620,4332,5721,2980
4864,3135,5360,5621,4328,5448,3000
4524,2982,4584,4914,4159,5674,3020
4825,2959,4274,4264,4108,5741,3040
4616,2668,3870,3965,4369,5988,3060
4629,2312,3226,3396,3976,5962,3080
4760,2445,3131,3339,4876,6368,3100
5152,2328,3053,3029,4904,7153,3120
5753,2170,2737,2915,5402,8160,3140
5976,1913,2443,2908,5854,8735,3160
7165,2092,2579,2790,6494,10193,3180
7858,1959,2506,2878,7280,11200,3200
8885,2006,2459,2945,8157,12694,3220
8970,1848,2443,2942,8217,13095,3240
11284,2045,2683,3117,9433,15744,3260
12683,2081,2869,3234,10118,16833,3280
13442,2092,2850,3537,11626,18625,3300
13533,2092,3015,3706,11845,18240,3320
15037,2102,3409,3934,12622,20227,3340
14462,2188,3214,3823,12590,19837,3360
14292,2261,3315,4052,12563,18594,3380
13043,2110,3239,3982,11187,17572,3400
12677,2362,3378,4170,11146,17331,3420
11958,2310,3422,4214,9734,16520,3440
10277,2297,3794,4056,9277,15185,3460
8846,2450,3829,4072,7851,13716,3480
8931,2536,4205,4554,7764,13875,3500
8460,2660,4697,5052,7275,14091,3520
7976,2977,5291,5449,7120,14676,3540
8460,2972,5843,6240,6828,14979,3560
8924,3358,7191,7499,7294,16679,3580
9493,3600,8245,8532,7796,18065,3600
9741,3901,9309,10282,7966,19827,3620
10277,4272,10029,10824,8002,21003,3640
11330,4347,11475,12079,8921,23103,3660
11520,4833,12239,12339,8889,24212,3680
11853,5017,12895,13348,9263,24890,3700
11703,4825,12254,12732,8966,23781,3720
11513,4747,12305,12214,9337,23652,3740
10709,4482,11774,11800,8752,23247,3760
10049,4098,10322,10259,8199,20443,3780
9127,3379,8394,8724,6919,17105,3800
8283,3101,7380,7603,6133,14948,3820
7087,2837,6042,6237,5283,12802,3840
5675,2494,5025,5038,4611,10363,3860
4707,2289,3965,4049,3811,8093,3880
4289,2240,3665,3995,3441,7641,3900
3720,2152,3542,3746,2989,6532,3920
3550,2087,3387,3457,2939,6054,3940
3217,1972,3207,3258,2893,5197,3960
3132,2253,3371,3810,2975,5484,3980
3269,2045,3592,3615,2843,5782,4000
3341,2102,3643,3574,2943,5520,4020
3132,2105,3393,3403,2728,4981,4040
3164,2097,3558,3500,2920,5674,4060
3295,2144,3387,3524,2779,5094,4080
2877,2009,2996,3298,2769,4832,4100
3060,1931,2914,2770,2427,4601,4120
2844,1819,2914,2703,2628,4098,4140
2569,1767,2579,2837,2705,3708,4160
2582,1866,2330,2514,2564,3528,4180
2511,1850,2282,2457,2427,3333,4200
2367,1775,2194,2410,2477,3004,4220
2622,1594,2267,2299,2271,3235,4240
2582,1601,2096,2134,2349,3220,4260
2550,1549,2074,2130,2715,2809,4280
2759,1570,2143,2369,2829,3045,4300
2922,1791,2178,2427,2966,3507,4320
3177,1858,2270,2231,3396,3733,4340
3119,1848,2181,2299,3702,3533,4360
3380,1996,2390,2376,4127,4031,4380
4165,1972,2361,2443,4492,4401,4400
4184,2102,2308,2484,5004,4714,4420
4465,2196,2386,2558,5246,4940,4440
4975,2279,2557,2878,5649,5330,4460
4910,2411,2566,2932,6412,5515,4480
5263,2530,2737,2760,6837,5854,4500
5126,2206,2184,2699,6448,5767,4520
5629,2505,2525,2935,7184,5946,4540
5400,2235,2882,3130,6956,6357,4560
5361,2232,2743,3083,7006,5895,4580
5263,2043,2592,3107,6064,5258,4600
4773,2048,2743,3120,5745,5104,4620
4799,2107,2923,3032,5178,4842,4640
4354,1913,2797,2979,4556,4344,4660
3707,1806,2715,2995,4163,3708,4680
3511,1806,2768,2871,3875,3728,4700
3125,1791,2753,2948,3290,3456,4720
3125,1895,2648,2844,3217,3312,4740
2949,1684,2633,2726,3121,3312,4760
3099,1840,2753,2716,3025,3286,4780
3315,1915,2484,2767,3085,3615,4800
2988,1741,2633,2763,3071,3245,4820
2968,1853,2538,2716,3213,3435,4840
2988,1970,2753,2824,3167,3559,4860
3439,1869,2484,2868,3528,3471,4880
3217,1988,2431,2719,3277,3661,4900
3249,1728,2462,2504,3469,3548,4920
3766,1775,2683,2481,3428,3595,4940
3472,1967,2645,2713,3318,3502,4960
3589,1850,2655,2831,3222,3615,4980
3197,1882,2554,2538,3071,3502,5000
3164,1793,2582,2666,3263,3574,5020
3047,1993,2731,3009,3085,3646,5040
2831,1941,2702,2817,2939,3230,5060
2837,1856,2529,2618,2582,3271,5080
3204,1967,2453,2767,2747,3209,5100
2765,2110,2450,2905,2779,3127,5120
2896,2126,2721,2841,2381,2958,5140
2563,1939,2551,2783,2445,2783,5160
2922,2107,2718,2787,2568,3081,5180
2360,2302,2844,3029,2696,3102,5200
2883,2281,2910,3036,2673,3271,5220
2805,2118,2588,2999,2641,2973,5240
2870,2450,2847,2847,2715,3163,5260
2975,2512,2929,3009,2555,3086,5280
3034,2748,2917,3120,2920,3410,5300
3001,2346,2942,3019,2664,3317,5320
2883,2660,3147,3150,3071,3471,5340
3158,2699,3103,3376,3012,3343,5360
3289,2554,3176,3376,3044,3122,5380
3177,2463,3078,3268,2852,3163,5400
3236,2479,3119,3150,2792,3286,5420
3236,2577,3236,3386,3089,3276,5440
3740,2466,3242,3123,3053,3261,5460
3465,2299,3172,3329,2811,3040,5480
3557,2206,3040,3228,3162,3271,5500
3674,2172,3053,3221,3053,3230,5520
3883,2050,3248,3383,2888,2999,5540
3753,1879,2993,3245,2769,2722,5560
4858,2011,3053,3379,2728,2989,5580
4923,1879,3236,3635,2847,2989,5600
5629,1897,3273,3379,2418,2876,5620
6106,1819,3065,3194,2276,2978,5640
7107,1954,2936,3342,2628,3035,5660
7976,2040,3270,3621,2925,3096,5680
8859,2027,3198,3362,2884,3502,5700
9545,2110,3198,3393,2783,3019,5720
11918,2206,3296,3531,3085,3312,5740
13324,2222,3277,3749,3364,3856,5760
15115,2390,3438,3749,3606,3738,5780
16122,2227,3182,3685,3501,3810,5800
19130,2515,3599,4012,3898,4365,5820
22209,2468,3911,4375,4232,4663,5840
23150,2562,3627,4069,4310,4688,5860
24242,2528,4044,4180,4538,4889,5880
26589,2756,4202,4655,5178,5068,5900
26968,3094,4735,4897,5050,5679,5920
27093,2889,4694,5365,5434,6029,5940
24948,2902,5168,5473,5804,6018,5960
24863,3234,5717,6556,6567,6260,5980
23817,3522,6695,7166,6768,6973,6000
22039,3675,7336,8014,7764,7466,6020
18580,3981,8368,9077,7700,7908,6040
18365,4236,9751,10969,9044,9069,6060
17286,4599,11519,12820,9880,10583,6080
17423,5045,13634,14923,11891,12052,6100
17750,5211,15357,16956,13646,13947,6120
19254,6135,18650,20319,15492,16129,6140
22549,6556,22308,24199,17992,18009,6160
25059,7093,26330,28140,21447,22548,6180
28099,8092,29821,31812,23974,24849,6200
33944,9097,37000,39863,28956,30225,6220
38965,10184,44254,47315,33782,34780,6240
45510,11427,52417,55557,38827,39535,6260
51119,11913,60624,62750,42574,43772,6280
60350,14316,71354,75819,50553,50745,6300
69699,15611,85079,87659,56659,59136,6320
78172,16789,97264,97695,63829,64548,6340
81206,17179,103195,103744,66777,67599,6360
91712,18912,115434,114968,75556,76000,6380
95909,19621,120478,118825,78824,77997,6400
95615,19312,119187,118283,79527,78460,6420
91039,16704,105898,104373,74148,71928,6440
92980,16953,106014,102636,75442,72549,6460
85122,15100,93059,91668,70584,66274,6480
78872,13304,78712,77040,62824,58576,6500
65666,10794,61597,60404,51029,47988,6520
56696,9242,49336,49967,44050,40834,6540
47079,7511,38881,37473,36702,32957,6560
38128,6182,27672,27649,28156,25111,6580
27321,4944,18707,19056,20963,18384,6600
22477,4368,15294,15435,16708,15421,6620
17593,3828,11683,11591,13066,11888,6640
13121,3047,9183,9309,10287,9700,6660
10598,3062,7137,7717,7883,7775,6680
9290,3236,6926,7233,7298,7369,6700
8296,3179,6490,6654,6754,6573,6720
7087,3065,6342,6815,6325,6527,6740
6884,3122,6004,6859,6115,6229,6760
6747,3075,6348,6987,6480,6558,6780
6884,3366,6692,7468,6544,6706,6800
7224,3345,7226,7805,6924,7215,6820
7590,3462,7380,7977,7074,7318,6840
8715,3608,8716,8808,8112,8350,6860
9539,3846,9173,9824,9035,8730,6880
10781,4189,10108,10821,9524,9469,6900
10421,4077,11099,11184,9606,9808,6920
11794,4526,12330,12779,11059,11482,6940
13546,4801,13801,14604,12206,12355,6960
14677,5173,15638,16031,13253,13526,6980
15312,4936,16667,17125,13907,13849,7000
16416,5284,18274,18528,14743,14871,7020
17168,5489,18700,19410,15584,15719,7040
17868,5183,19183,19231,15858,15719,7060
16822,4788,17267,16997,14921,14584,7080
18234,5292,18372,17915,15808,15097,7100
16776,5009,16408,16637,15118,14753,7120
15841,4438,14657,14910,13354,13392,7140
13409,4264,12567,12019,12412,10892,7160
12991,3870,10606,11285,10941,10578,7180
10840,3618,8956,8949,9693,9556,7200
9356,3400,6986,7418,8646,7882,7220
7656,2881,5796,5809,6946,6614,7240
6904,3060,5019,5234,6247,5572,7260
5721,2824,4082,4692,5489,5181,7280
5354,2741,4031,4184,5086,5002,7300
4753,2707,3362,3541,4323,4560,7320
4655,2710,3375,3450,4451,4247,7340
4400,2795,3242,3541,4163,4000,7360
3949,2624,2756,3211,3930,3934,7380
4184,2715,2749,3177,3862,3831,7400
4178,2767,2806,3224,3679,3790,7420
4001,2707,2787,3069,3939,3672,7440
4393,2704,2869,3426,3647,3826,7460
3883,2502,2645,2891,3679,3656,7480
4250,2707,2923,3386,3789,4072,7500
4132,2774,2753,3174,3697,3867,7520
4505,2741,2895,3436,3597,3754,7540
4008,2702,2787,3409,3514,3466,7560
4093,2748,2784,3241,3702,3620,7580
4393,2979,2920,3487,3811,3677,7600
3968,2663,2910,3413,3834,4031,7620
4393,2907,3106,3342,3757,3687,7640
4446,2930,2838,3490,3752,3661,7660
4223,3068,2993,3460,4003,3846,7680
4609,3218,3308,3652,3912,3882,7700
4295,3146,3040,3551,3459,3548,7720
5139,3247,3494,3823,4140,3687,7740
5276,3483,3507,3904,4040,4252,7760
5538,3423,3602,4170,4200,4360,7780
5851,3693,3611,3928,4163,4185,7800
6368,3859,3652,4352,4433,4478,7820
6982,3802,3943,4258,4305,4288,7840
7603,4085,3779,4288,4721,4755,7860
7898,3940,3466,4197,5141,4457,7880
8970,4417,3832,4231,5269,5294,7900
9650,4617,3785,4530,5041,5125,7920
10644,4534,4107,4385,5169,5217,7940
10624,4708,3725,4315,5438,5623,7960
12402,5110,3905,4564,5589,5721,7980
12794,5038,3971,4523,5891,5792,8000
13546,5131,3899,4439,6046,5700,8020
13422,5095,3734,4136,5772,5556,8040
13971,5048,3955,4325,6119,5515,8060
13625,4936,3564,4348,5754,5685,8080
13082,4708,3330,4086,5612,5397,8100
11618,4230,3318,3726,4940,5032,8120
11624,4215,3302,3817,5141,4693,8140
10199,3766,3333,3665,4716,4616,8160
9231,3807,3277,3467,4597,4221,8180
8473,3190,3005,3345,4003,3882,8200
7316,3081,3021,3154,4040,3908,8220
6407,3003,2961,3362,3592,3399,8240
5766,2803,2832,3016,3332,3482,8260
5701,2850,2749,3016,3103,3138,8280
5453,2733,2904,3157,3053,3004,8300
5655,2844,2970,3197,2952,2927,8320
6106,2624,2910,3096,3021,3163,8340
5982,2523,2623,2847,2609,2722,8360
7192,2549,2784,3170,2747,2891,8380
7630,2551,2740,3201,2811,2778,8400
8558,2777,2803,3167,2737,2871,8420
9186,2541,2756,3140,2737,3148,8440
10513,2575,2929,3228,2907,3086,8460
12383,2772,2999,3096,2843,3338,8480
13893,2798,2759,3228,3135,3502,8500
15030,2588,2724,3221,2934,3502,8520
17685,2761,2964,3487,3286,3636,8540
18920,2710,2958,3329,3405,3759,8560
20869,2806,3008,3406,3418,3856,8580
20738,2715,2958,3369,3491,3836,8600
22954,2966,3236,3571,3670,4355,8620
23850,2953,3040,3642,3789,4293,8640
23170,3050,3169,3453,3656,4093,8660
21960,3034,3270,3453,3656,3769,8680
21882,3075,3049,3413,3601,3923,8700
19947,3099,3232,3463,3455,3759,8720
18332,3018,2970,3207,3249,3702,8740
15495,2956,2854,3278,2980,3405,8760
13867,3151,3008,3467,3354,3317,8780
12056,3190,2955,3436,3112,3333,8800
10166,3236,2917,3443,3263,3220,8820
8290,3081,3002,3345,2916,2973,8840
7800,3164,3034,3234,2861,2835,8860
7427,3317,3204,3342,3021,3019,8880
5982,3457,3081,3282,2865,3204,8900
5590,2992,2822,3234,2609,2860,8920
5662,3306,2989,3376,2751,2891,8940
5028,3335,2873,3258,2788,3030,8960
4949,3247,2914,3194,2792,2896,8980
4400,3031,2705,3073,2545,2598,9000
4596,3226,2854,3255,2760,2906,9020
4420,3060,2705,3201,2609,2886,9040
4112,3127,2809,3147,2577,2747,9060
3812,2998,2667,2787,2518,2901,9080
3622,3099,2803,3059,2573,2814,9100
3681,3148,2986,2908,2692,2804,9120
3720,3031,2614,3012,2646,2881,9140
3249,2795,2522,2868,2628,2439,9160
3498,2946,2727,2938,2747,2732,9180
3707,3229,2601,3016,2710,2891,9200
3785,2974,2661,2844,2769,2804,9220
3642,2868,2443,2618,2619,2860,9240
3818,3060,2529,3006,2555,2865,9260
3942,2912,2481,2911,2637,2799,9280
4112,2917,2465,2898,2646,3061,9300
4093,2785,2503,2810,2673,2891,9320
4505,2979,2434,2962,2902,2835,9340
4040,3016,2576,3039,2354,2845,9360
4446,2961,2525,2969,2641,2978,9380
4563,2707,2494,2777,2468,2706,9400
5113,2764,2462,2888,2756,2871,9420
5178,2870,2478,2928,2541,2994,9440
5368,2915,2595,2894,2687,3179,9460
5060,2676,2434,2780,2381,3055,9480
6087,2647,2645,3117,2673,3148,9500
6257,2811,2472,2969,2719,3061,9520
6577,2894,2579,2938,2852,3050,9540
6126,2634,2484,2807,2628,3009,9560
6740,2780,2582,3093,2984,3153,9580
6492,2857,2547,3063,2678,3292,9600
6459,2772,2674,3056,2683,3117,9620
5936,2575,2494,2571,2477,3179,9640
5590,2803,2630,2948,2733,3225,9660
5740,2795,2484,3080,2596,2978,9680
5407,2839,2598,2894,2692,3189,9700
4688,2582,2497,2746,2445,2989,9720
4603,2889,2538,2948,2477,2999,9740
4040,2855,2614,2787,2577,3117,9760
3655,2697,2532,2928,2436,2927,9780
3177,2754,2393,2861,2545,2927,9800
3563,2816,2487,2767,2646,2809,9820
3236,2829,2431,3164,2381,2871,9840
3419,2883,2469,2763,2482,2876,9860
2922,2642,2326,2884,2340,2737,9880
2792,2902,2516,2969,2308,2948,9900
3119,3003,2465,2864,2317,2871,9920
2949,3047,2405,3026,2568,2942,9940
2746,2730,2434,2864,2294,2809,9960
3053,2904,2516,2703,2404,2886,9980
3060,2777,2497,2804,2628,2871,10000
2909,2886,2326,2767,2614,2912,10020
2798,2759,2352,2773,2308,2691,10040
2922,2756,2459,2723,2641,2578,10060
2962,2777,2494,2713,2408,2675,10080
3184,2938,2472,2814,2459,2799,10100
3014,2907,2222,2618,2450,2645,10120
2864,2769,2415,2652,2742,3081,10140
3432,3073,2592,2581,2715,3071,10160
3393,3018,2320,2783,2724,2953,10180
3458,2811,2178,2477,2893,2788,10200
3557,2941,2541,2417,2989,2973,10220
4197,2992,2229,2585,3222,2835,10240
4269,2883,2326,2676,3034,2876,10260
4420,2694,2042,2477,3121,2901,10280
4616,2951,2320,2639,3665,3189,10300
5060,2938,2333,2682,3665,3302,10320
5551,3042,2159,2733,3825,3317,10340
5773,2946,2131,2521,3802,3518,10360
6231,2860,2317,2689,4698,3790,10380
7048,2985,2207,2662,4730,3795,10400
7420,2938,2339,2682,5201,4000,10420
7911,2826,2087,2558,4821,3913,10440
8636,3130,2349,2723,5502,4365,10460
8787,3047,2244,2501,5863,4545,10480
9336,2946,2308,2656,6202,4370,10500
9088,2907,2446,2393,5790,4401,10520
9486,3075,2289,2743,6005,4781,10540
9918,2956,2374,2592,6133,4560,10560
9539,2855,2197,2528,6165,4355,10580
9140,2876,2232,2491,6078,4411,10600
8466,2977,2238,2639,5827,4488,10620
8270,2873,2304,2450,5525,4216,10640
6989,2839,2207,2487,4799,3759,10660
6270,2702,2049,2373,4172,3425,10680
5544,2886,2058,2477,4145,3338,10700
4786,2883,2279,2450,3825,3415,10720
4289,2878,2184,2430,3601,3019,10740
3615,2723,2128,2413,3021,2747,10760
3360,2933,1960,2447,2943,2696,10780
3275,2787,2055,2514,3172,2794,10800
3020,2922,2064,2497,2655,2773,10820
2452,2730,1979,2205,2367,2326,10840
2661,3008,2188,2443,2568,2455,10860
2576,2834,2254,2470,2418,2506,10880
2452,2819,2036,2443,2495,2347,10900
2105,2678,2068,2181,2436,2239,10920
2537,2839,1951,2376,2577,2218,10940
2628,2852,2099,2457,2399,2434,10960
2680,2904,1995,2231,2431,2568,10980
2537,2826,1913,2265,2280,2398,11000
2380,2990,2184,2343,2408,2378,11020
2589,3024,2093,2507,2358,2475,11040
2484,2873,2109,2645,2354,2424,11060
2184,2839,1840,2194,2139,2367,11080
2504,2834,2102,2329,2568,2198,11100
2452,2878,2143,2319,2482,2301,11120
2301,2873,1954,2363,2500,2352,11140
2439,2751,1888,2208,2303,2239,11160
2700,2909,2096,2390,2381,2326,11180
2680,2829,2172,2302,2386,2465,11200
2537,2834,2087,2258,2541,2455,11220
2216,2998,1885,2511,2344,2408,11240
2641,2896,1998,2369,2299,2295,11260
